epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72497,1.90032,4.70417,1.54422,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,3.57e-06,3.57e-06,3.57e-06
2,4.67045,1.92223,4.84272,1.55712,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,8.16507e-06,8.16507e-06,8.16507e-06
3,5.85336,1.83977,4.42968,1.49113,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,1.25716e-05,1.25716e-05,1.25716e-05
4,7.0984,1.91142,4.65962,1.51837,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,1.67897e-05,1.67897e-05,1.67897e-05
5,8.33566,1.74737,4.21628,1.45319,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,2.08193e-05,2.08193e-05,2.08193e-05
6,9.55463,1.80897,4.31891,1.4714,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,2.46604e-05,2.46604e-05,2.46604e-05
7,10.9962,1.80676,4.05564,1.41929,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,2.8313e-05,2.8313e-05,2.8313e-05
8,12.1639,1.77479,3.78453,1.44959,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,3.1777e-05,3.1777e-05,3.1777e-05
9,13.4585,1.76531,3.73314,1.42135,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,3.50526e-05,3.50526e-05,3.50526e-05
10,14.5009,1.71069,3.65331,1.392,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,3.81397e-05,3.81397e-05,3.81397e-05
11,15.7291,1.75104,3.51144,1.36114,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,4.10383e-05,4.10383e-05,4.10383e-05
12,17.0135,1.66283,3.04945,1.32271,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,4.37484e-05,4.37484e-05,4.37484e-05
13,18.2134,1.63704,3.10076,1.32687,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,4.62701e-05,4.62701e-05,4.62701e-05
14,19.2637,1.67457,3.04187,1.33661,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,4.86032e-05,4.86032e-05,4.86032e-05
15,20.5542,1.67491,3.05776,1.34999,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.07478e-05,5.07478e-05,5.07478e-05
16,21.6715,1.68681,2.9907,1.32069,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.27039e-05,5.27039e-05,5.27039e-05
17,23.1386,1.61736,2.73338,1.31245,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.44715e-05,5.44715e-05,5.44715e-05
18,24.6208,1.67401,2.7023,1.33227,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.60507e-05,5.60507e-05,5.60507e-05
19,25.8027,1.64034,2.70764,1.28483,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.74413e-05,5.74413e-05,5.74413e-05
20,26.9691,1.57446,2.58481,1.26456,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.86434e-05,5.86434e-05,5.86434e-05
21,28.223,1.6364,2.67412,1.31379,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,5.96571e-05,5.96571e-05,5.96571e-05
22,29.3853,1.55753,2.43782,1.26571,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,6.04822e-05,6.04822e-05,6.04822e-05
23,30.5632,1.55678,2.4368,1.26446,0.55835,0.26363,0.2805,0.19522,1.38296,1.51491,1.1014,6.11189e-05,6.11189e-05,6.11189e-05
