epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4178,3.5261,7.01101,2.60715,0,0,0,0,4.07817,7.18238,2.90242,3.57e-06,3.57e-06,3.57e-06
2,2.78338,3.45321,7.01529,2.53522,0,0,0,0,4.07606,7.48615,2.93216,8.24753e-06,8.24753e-06,8.24753e-06
3,3.79958,3.47076,6.93224,2.54782,0,0,0,0,4.04944,7.57207,2.93246,1.28308e-05,1.28308e-05,1.28308e-05
4,5.17493,3.54981,7.0177,2.56934,0,0,0,0,3.98819,7.58445,2.90807,1.73199e-05,1.73199e-05,1.73199e-05
5,6.58178,3.33266,6.90497,2.48332,0,0,0,0,3.93547,7.59281,2.9091,2.17146e-05,2.17146e-05,2.17146e-05
6,8.02407,3.49833,6.9249,2.54185,0,0,0,0,3.89859,7.58289,2.90422,2.60152e-05,2.60152e-05,2.60152e-05
7,9.61038,3.44433,6.83747,2.47386,0,0,0,0,3.86877,7.5625,2.88019,3.02215e-05,3.02215e-05,3.02215e-05
8,11.1011,3.39148,6.79541,2.44506,0.00033,0.00017,0.00017,7e-05,3.82144,7.52144,2.85939,3.43335e-05,3.43335e-05,3.43335e-05
9,12.8198,3.35063,6.73303,2.40424,0.00059,0.00089,0.00032,0.00011,3.80297,7.46659,2.84338,3.83513e-05,3.83513e-05,3.83513e-05
10,14.2027,3.40305,6.67437,2.44354,0.00055,0.00089,0.0003,0.00011,3.78715,7.393,2.82481,4.22749e-05,4.22749e-05,4.22749e-05
11,15.7712,3.50078,6.60856,2.38651,0.00037,0.00083,0.0002,8e-05,3.79391,7.27771,2.80424,4.61042e-05,4.61042e-05,4.61042e-05
12,17.3109,3.39552,6.51462,2.32719,0.00013,0.0005,7e-05,2e-05,3.76868,7.18719,2.75917,4.98392e-05,4.98392e-05,4.98392e-05
13,18.6756,3.38032,6.44872,2.36619,0.00022,0.00105,0.00012,5e-05,3.747,7.07697,2.73655,5.348e-05,5.348e-05,5.348e-05
14,20.2199,3.39579,6.42866,2.36216,0.00015,0.00105,9e-05,3e-05,3.72496,6.99086,2.7089,5.70266e-05,5.70266e-05,5.70266e-05
15,21.754,3.33023,6.40026,2.30017,0.00015,0.00144,9e-05,3e-05,3.7162,6.90143,2.67863,6.04789e-05,6.04789e-05,6.04789e-05
16,23.1677,3.38329,6.2505,2.30635,0.00018,0.00298,0.00011,4e-05,3.72949,6.81429,2.65349,6.3837e-05,6.3837e-05,6.3837e-05
17,24.8486,3.38863,6.23161,2.33708,0.00258,0.01402,0.00202,0.00023,3.73914,6.67219,2.63777,6.71008e-05,6.71008e-05,6.71008e-05
18,26.1868,3.41063,6.14937,2.29195,0.00021,0.01578,0.00016,5e-05,3.74678,6.54571,2.62539,7.02703e-05,7.02703e-05,7.02703e-05
19,28.6783,3.40909,6.15126,2.26292,0.00027,0.0148,0.0002,6e-05,3.77698,6.43629,2.64057,7.33457e-05,7.33457e-05,7.33457e-05
20,30.1438,3.37322,5.99079,2.20327,0.00048,0.0236,0.00034,0.00011,3.77849,6.31026,2.63612,7.63267e-05,7.63267e-05,7.63267e-05
21,31.8206,3.38114,5.79638,2.21973,0.00037,0.02387,0.0003,0.00011,3.79528,6.2074,2.63648,7.92135e-05,7.92135e-05,7.92135e-05
22,33.2982,3.37217,5.81894,2.25453,0.00035,0.02889,0.00032,0.00012,3.78789,6.06643,2.61393,8.20061e-05,8.20061e-05,8.20061e-05
23,34.8613,3.39835,5.64808,2.22382,0.00044,0.02974,0.00071,0.00015,3.79633,5.97088,2.62291,8.47044e-05,8.47044e-05,8.47044e-05
24,36.1103,3.45819,5.80817,2.22931,0.00059,0.035,0.00114,0.00025,3.8081,5.88521,2.63011,8.73085e-05,8.73085e-05,8.73085e-05
25,37.4699,3.48778,5.69476,2.2451,0.00076,0.03365,0.00137,0.00041,3.81489,5.81193,2.64516,8.98183e-05,8.98183e-05,8.98183e-05
26,38.9809,3.41644,5.689,2.24428,0.00089,0.03543,0.00105,0.00031,3.7659,5.75674,2.61424,8.95475e-05,8.95475e-05,8.95475e-05
27,40.3699,3.4277,5.56331,2.18823,0.00063,0.03235,0.00079,0.00024,3.82125,5.71541,2.64162,8.83694e-05,8.83694e-05,8.83694e-05
28,41.7996,3.46457,5.47599,2.20084,0.00105,0.03895,0.00104,0.00027,3.78929,5.69449,2.61368,8.71913e-05,8.71913e-05,8.71913e-05
29,43.273,3.38098,5.35947,2.14885,0.00074,0.03578,0.00085,0.00024,3.78957,5.63739,2.60341,8.60132e-05,8.60132e-05,8.60132e-05
30,45.197,3.38587,5.34373,2.14669,0.00085,0.036,0.00099,0.00027,3.7945,5.59964,2.58055,8.48351e-05,8.48351e-05,8.48351e-05
31,46.6559,3.42238,5.33527,2.17924,0.00065,0.03265,0.00084,0.00022,3.77434,5.5652,2.54775,8.3657e-05,8.3657e-05,8.3657e-05
32,48.0612,3.33213,5.32429,2.13038,0.00079,0.03772,0.00102,0.00028,3.77048,5.48366,2.51808,8.24789e-05,8.24789e-05,8.24789e-05
33,49.4404,3.36417,5.24801,2.14452,0.0006,0.04054,0.00117,0.00035,3.77049,5.49281,2.52097,8.13008e-05,8.13008e-05,8.13008e-05
34,50.8157,3.35454,5.36062,2.12585,0.00053,0.0369,0.00086,0.00027,3.80301,5.52886,2.52783,8.01227e-05,8.01227e-05,8.01227e-05
35,52.0687,3.49783,5.25973,2.17868,0.00056,0.043,0.00086,0.00026,3.81789,5.50232,2.49133,7.89446e-05,7.89446e-05,7.89446e-05
