epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42848,3.60461,7.05917,2.56101,0,0,0,0,4.02357,7.46841,2.92682,1.785e-05,1.785e-05,1.785e-05
2,6.94233,3.46724,6.94256,2.49817,0,0,0,0,3.92369,7.58373,2.88393,2.47163e-05,2.47163e-05,2.47163e-05
3,9.24769,3.52678,6.94025,2.5636,0,0,0,0,3.86455,7.61684,2.8823,1.90162e-05,1.90162e-05,1.90162e-05
1,62.8602,3.01523,4.78486,2.2122,0.0194,0.01997,0.00654,0.00209,3.21836,5.52285,2.47871,0.00332636,0.00332636,0.00332636
2,122.168,2.34949,3.38312,1.6314,0.11499,0.17671,0.05943,0.02142,2.60983,2.87048,1.71062,0.00659376,0.00659376,0.00659376
3,176.992,2.24365,2.90809,1.55204,0.09709,0.24975,0.06653,0.02478,2.60009,3.79122,1.67126,0.00979516,0.00979516,0.00979516
4,232.321,2.20154,2.71536,1.53315,0.16657,0.22566,0.11605,0.05584,2.45657,2.84661,1.58146,0.009703,0.009703,0.009703
5,288.831,2.08922,2.5031,1.46886,0.24844,0.25504,0.15864,0.06965,2.40095,2.31858,1.56656,0.009604,0.009604,0.009604
6,344.609,2.05212,2.36537,1.43448,0.26863,0.2965,0.19457,0.09732,2.30292,2.17707,1.45499,0.009505,0.009505,0.009505
7,397.826,1.99133,2.26235,1.40215,0.28218,0.34337,0.21997,0.11291,2.22649,2.12914,1.44125,0.009406,0.009406,0.009406
8,451.708,1.98235,2.20161,1.39211,0.31727,0.34312,0.2587,0.13532,2.22535,2.05625,1.41732,0.009307,0.009307,0.009307
9,504.22,1.94577,2.14142,1.37874,0.31315,0.32825,0.26332,0.14206,2.16807,1.98221,1.41491,0.009208,0.009208,0.009208
10,558.77,1.91897,2.07879,1.36068,0.35769,0.36148,0.28732,0.15148,2.1359,1.93641,1.37595,0.009109,0.009109,0.009109
11,612.087,1.90301,2.06661,1.35817,0.34806,0.35805,0.29932,0.15727,2.13927,1.90762,1.35894,0.00901,0.00901,0.00901
12,665.688,1.87729,1.98462,1.33529,0.39263,0.37135,0.33411,0.18147,2.1227,1.88778,1.33891,0.008911,0.008911,0.008911
13,719.234,1.86655,1.97268,1.3315,0.39554,0.37678,0.33324,0.18581,2.12566,1.87399,1.34584,0.008812,0.008812,0.008812
14,774.725,1.8655,1.93521,1.32831,0.4647,0.36689,0.35711,0.19822,2.09192,1.80118,1.32188,0.008713,0.008713,0.008713
15,829.321,1.83533,1.89434,1.31471,0.43514,0.40967,0.39256,0.22445,2.03342,1.73571,1.29613,0.008614,0.008614,0.008614
16,882.807,1.82358,1.87478,1.31043,0.42389,0.40729,0.37699,0.2121,2.03935,1.71452,1.28904,0.008515,0.008515,0.008515
17,937.931,1.82195,1.85379,1.3004,0.46672,0.41776,0.40154,0.2328,2.02596,1.69096,1.28033,0.008416,0.008416,0.008416
18,991.871,1.80031,1.82204,1.29359,0.45365,0.42623,0.41965,0.24956,2.00227,1.68184,1.28405,0.008317,0.008317,0.008317
19,1045.91,1.78852,1.80473,1.29108,0.49849,0.43242,0.4357,0.25266,1.99492,1.64706,1.28601,0.008218,0.008218,0.008218
