epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.183,2.30134,2.77035,1.94208,0.49196,0.37907,0.36389,0.18768,1.99776,2.30322,1.74619,0.00332984,0.00332984,0.00332984
2,256.572,1.8613,1.91269,1.57841,0.61193,0.55257,0.59644,0.36084,1.77769,1.6079,1.56485,0.00653125,0.00653125,0.00653125
3,379.692,1.76065,1.70206,1.50128,0.61823,0.58346,0.61747,0.38224,1.75807,1.50125,1.55369,0.00960065,0.00960065,0.00960065
4,503.625,1.70986,1.61099,1.4674,0.61578,0.65569,0.67468,0.42722,1.70868,1.40474,1.50586,0.009406,0.009406,0.009406
5,626.503,1.64114,1.48239,1.42468,0.73678,0.69249,0.74114,0.49034,1.62919,1.24625,1.46223,0.009208,0.009208,0.009208
6,751.306,1.60752,1.39451,1.40187,0.76177,0.68934,0.76821,0.50924,1.60175,1.22901,1.43805,0.00901,0.00901,0.00901
7,872.741,1.56332,1.34413,1.37481,0.76978,0.70229,0.78689,0.53111,1.57267,1.18033,1.41316,0.008812,0.008812,0.008812
8,995.798,1.54104,1.29733,1.36589,0.75483,0.74198,0.79782,0.54694,1.5361,1.13142,1.3906,0.008614,0.008614,0.008614
9,1119.56,1.52491,1.25757,1.35168,0.79117,0.75896,0.8105,0.54983,1.53972,1.0878,1.38961,0.008416,0.008416,0.008416
10,1244.57,1.49454,1.22287,1.33683,0.78174,0.7456,0.81993,0.56472,1.50785,1.08611,1.36897,0.008218,0.008218,0.008218
11,1368.15,1.47538,1.19115,1.32298,0.79944,0.75626,0.82192,0.57321,1.48423,1.05203,1.34834,0.00802,0.00802,0.00802
12,1492.41,1.46919,1.17197,1.31339,0.78547,0.77088,0.82611,0.58358,1.4815,1.02804,1.34949,0.007822,0.007822,0.007822
13,1614.88,1.4525,1.15362,1.30993,0.81066,0.7787,0.84144,0.59681,1.45301,1.00503,1.34213,0.007624,0.007624,0.007624
14,1739.04,1.44309,1.12868,1.29788,0.81197,0.79248,0.84775,0.60155,1.44669,0.97848,1.33305,0.007426,0.007426,0.007426
15,1861.72,1.42664,1.10431,1.28598,0.78356,0.7848,0.83381,0.59331,1.43754,0.96642,1.32092,0.007228,0.007228,0.007228
16,1985.67,1.41504,1.09045,1.28357,0.82701,0.77404,0.84445,0.60557,1.42755,0.96546,1.31065,0.00703,0.00703,0.00703
17,2109.29,1.40758,1.06947,1.26916,0.84223,0.7979,0.86884,0.62704,1.39307,0.93114,1.29828,0.006832,0.006832,0.006832
18,2237.77,1.39482,1.06695,1.27212,0.81436,0.80864,0.86273,0.62491,1.38478,0.92495,1.28798,0.006634,0.006634,0.006634
19,2366.65,1.38791,1.04923,1.26112,0.84091,0.80625,0.87174,0.63307,1.37947,0.90957,1.28178,0.006436,0.006436,0.006436
20,2496.31,1.37474,1.03549,1.25816,0.85314,0.79897,0.86549,0.63077,1.36897,0.90881,1.27624,0.006238,0.006238,0.006238
21,2626.91,1.37148,1.01802,1.25257,0.84085,0.81382,0.87503,0.64346,1.35649,0.88836,1.26421,0.00604,0.00604,0.00604
22,2756.24,1.35967,1.00919,1.24788,0.83175,0.80903,0.8728,0.64194,1.34107,0.86718,1.25656,0.005842,0.005842,0.005842
23,2879.67,1.34424,0.99745,1.24196,0.84741,0.82287,0.88062,0.65072,1.33373,0.86744,1.25384,0.005644,0.005644,0.005644
24,3003.29,1.34118,0.9847,1.23897,0.84627,0.82856,0.88285,0.65419,1.32415,0.83844,1.24245,0.005446,0.005446,0.005446
25,3126.76,1.33566,0.97748,1.23855,0.85572,0.8301,0.88283,0.65432,1.31335,0.84238,1.23793,0.005248,0.005248,0.005248
26,3249.83,1.31947,0.96201,1.22501,0.86861,0.82509,0.88798,0.66362,1.30727,0.82657,1.23337,0.00505,0.00505,0.00505
27,3371.17,1.29837,0.94875,1.21951,0.85943,0.82995,0.88738,0.662,1.29717,0.81925,1.22827,0.004852,0.004852,0.004852
