epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.21332,3.66617,5.26456,3.22531,1e-05,0.00211,1e-05,0,3.81431,4.86647,3.47896,8.33e-06,8.33e-06,8.33e-06
2,7.04738,3.54935,5.11857,3.16221,2e-05,0.0025,1e-05,0,3.79709,4.91289,3.4727,1.7493e-05,1.7493e-05,1.7493e-05
3,8.8883,3.55557,5.06297,3.12848,2e-05,0.00305,3e-05,1e-05,3.7901,5.29514,3.48952,2.62752e-05,2.62752e-05,2.62752e-05
4,10.7952,3.48596,5.01902,3.04413,2e-05,0.00305,3e-05,1e-05,3.77384,5.29979,3.50915,3.46766e-05,3.46766e-05,3.46766e-05
5,12.8013,3.34071,4.90229,2.93718,2e-05,0.00305,3e-05,1e-05,3.75392,5.2891,3.51655,4.26972e-05,4.26972e-05,4.26972e-05
6,14.7531,3.24204,4.85368,2.84179,2e-05,0.00355,3e-05,1e-05,3.73153,5.24237,3.5075,5.03371e-05,5.03371e-05,5.03371e-05
7,16.8345,3.13794,4.63497,2.75698,2e-05,0.00349,3e-05,1e-05,3.73202,5.15617,3.48956,5.75961e-05,5.75961e-05,5.75961e-05
8,18.7802,3.04649,4.66184,2.70474,2e-05,0.00327,3e-05,1e-05,3.75955,4.88898,3.47096,6.44743e-05,6.44743e-05,6.44743e-05
9,20.8045,3.01729,4.69525,2.67478,2e-05,0.00272,2e-05,1e-05,3.77926,4.70229,3.45232,7.09717e-05,7.09717e-05,7.09717e-05
10,22.6867,2.85,4.59167,2.61511,2e-05,0.00272,3e-05,1e-05,3.78713,4.67829,3.43927,7.70884e-05,7.70884e-05,7.70884e-05
11,24.8132,2.75867,4.60883,2.52709,2e-05,0.00299,3e-05,1e-05,3.7864,4.67122,3.41876,8.28242e-05,8.28242e-05,8.28242e-05
12,26.717,2.70133,4.68305,2.49821,2e-05,0.00305,3e-05,1e-05,3.78566,4.66335,3.40485,8.81792e-05,8.81792e-05,8.81792e-05
13,28.7752,2.6439,4.57859,2.45437,2e-05,0.00327,3e-05,1e-05,3.76853,4.65759,3.39592,9.04403e-05,9.04403e-05,9.04403e-05
14,30.7568,2.64734,4.54443,2.428,2e-05,0.00327,4e-05,1e-05,3.74472,4.64631,3.39053,8.80603e-05,8.80603e-05,8.80603e-05
15,32.6512,2.57304,4.53407,2.36387,8e-05,0.00549,9e-05,1e-05,3.74796,4.63503,3.38556,8.56803e-05,8.56803e-05,8.56803e-05
16,34.5031,2.48512,4.45365,2.36588,5e-05,0.00577,9e-05,2e-05,3.72426,4.61896,3.36798,8.33004e-05,8.33004e-05,8.33004e-05
17,36.3433,2.4397,4.44983,2.2911,5e-05,0.00674,0.00013,3e-05,3.685,4.61256,3.35494,8.09204e-05,8.09204e-05,8.09204e-05
18,38.2202,2.46126,4.41639,2.31496,7e-05,0.00994,0.00031,6e-05,3.65127,4.59203,3.33758,7.85404e-05,7.85404e-05,7.85404e-05
19,40.3819,2.43358,4.3814,2.29403,9e-05,0.01141,0.00055,0.00013,3.59854,4.56263,3.30335,7.61604e-05,7.61604e-05,7.61604e-05
20,42.3397,2.40933,4.27617,2.248,8e-05,0.01141,0.00067,0.00017,3.55147,4.55099,3.28946,7.37805e-05,7.37805e-05,7.37805e-05
