epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0776,2.25214,2.46979,1.53932,0.38415,0.41741,0.34583,0.18412,2.22803,1.90237,1.38093,0.00332984,0.00332984,0.00332984
2,176.743,1.89384,1.91809,1.33928,0.54947,0.45678,0.45895,0.26658,2.06711,1.66449,1.29865,0.00652991,0.00652991,0.00652991
3,258.617,1.80284,1.79009,1.29196,0.51676,0.45527,0.43542,0.25635,2.07818,1.73261,1.28565,0.00959665,0.00959665,0.00959665
4,341.577,1.80592,1.75846,1.28054,0.56064,0.4722,0.50187,0.30314,2.013,1.59513,1.23721,0.00940001,0.00940001,0.00940001
5,423.302,1.75144,1.65121,1.25169,0.59648,0.51888,0.5478,0.34512,1.9519,1.49168,1.21257,0.00920001,0.00920001,0.00920001
6,506.463,1.725,1.60045,1.23276,0.60514,0.51376,0.55049,0.35609,1.91392,1.47323,1.19488,0.00900001,0.00900001,0.00900001
7,588.879,1.68115,1.53579,1.21866,0.61825,0.56402,0.58026,0.37656,1.8766,1.42575,1.17275,0.00880001,0.00880001,0.00880001
8,670.224,1.6665,1.50652,1.21293,0.64432,0.55271,0.5891,0.38192,1.84845,1.38489,1.17211,0.00860001,0.00860001,0.00860001
9,754.02,1.65756,1.48137,1.20494,0.64281,0.56821,0.603,0.3913,1.85705,1.34981,1.16462,0.00840002,0.00840002,0.00840002
10,834.878,1.64095,1.46113,1.1972,0.64082,0.58059,0.62187,0.41004,1.81849,1.33561,1.14732,0.00820002,0.00820002,0.00820002
11,919.853,1.6097,1.41761,1.19168,0.6859,0.56238,0.6236,0.41543,1.8098,1.30385,1.1378,0.00800002,0.00800002,0.00800002
12,1003,1.61049,1.40463,1.18322,0.68761,0.55639,0.6139,0.4087,1.80217,1.31488,1.13009,0.00780002,0.00780002,0.00780002
13,1083.76,1.59942,1.38156,1.17816,0.68254,0.56968,0.62332,0.41649,1.7886,1.29948,1.13286,0.00760002,0.00760002,0.00760002
14,1164.45,1.59283,1.35912,1.17426,0.69104,0.59146,0.65545,0.44171,1.76965,1.25373,1.11999,0.00740003,0.00740003,0.00740003
15,1247.52,1.58752,1.34228,1.16577,0.70845,0.57888,0.64501,0.43083,1.77424,1.2574,1.12209,0.00720003,0.00720003,0.00720003
16,1329.54,1.57372,1.3338,1.16684,0.68237,0.59632,0.64281,0.4408,1.73837,1.23933,1.10866,0.00700003,0.00700003,0.00700003
17,1414.85,1.5677,1.31227,1.15596,0.72235,0.61397,0.67558,0.46128,1.73241,1.21269,1.10427,0.00680003,0.00680003,0.00680003
18,1502.05,1.55272,1.30183,1.15602,0.71481,0.61052,0.67825,0.46541,1.72668,1.18252,1.10435,0.00660003,0.00660003,0.00660003
19,1584.38,1.55066,1.28692,1.15132,0.70902,0.62502,0.68625,0.47463,1.71264,1.17504,1.09589,0.00640004,0.00640004,0.00640004
20,1670.32,1.53625,1.2757,1.1506,0.71293,0.62334,0.68607,0.47287,1.70258,1.16532,1.09638,0.00620004,0.00620004,0.00620004
21,1756.07,1.53746,1.26545,1.14807,0.71961,0.62559,0.68912,0.47293,1.69386,1.15746,1.09026,0.00600004,0.00600004,0.00600004
22,1840.62,1.52845,1.2597,1.14463,0.72965,0.62909,0.68448,0.47194,1.69202,1.14596,1.08758,0.00580004,0.00580004,0.00580004
23,1924.12,1.51977,1.24575,1.1424,0.7494,0.61139,0.68871,0.47663,1.68466,1.14121,1.08558,0.00560004,0.00560004,0.00560004
24,2009.4,1.51275,1.23341,1.13984,0.74125,0.62791,0.69388,0.48289,1.67381,1.1334,1.07974,0.00540005,0.00540005,0.00540005
25,2095.66,1.50006,1.22244,1.1367,0.72422,0.63089,0.69692,0.48539,1.66004,1.12411,1.07116,0.00520005,0.00520005,0.00520005
26,2182.89,1.49242,1.20909,1.13253,0.74724,0.63542,0.70562,0.49463,1.65211,1.11016,1.07104,0.00500005,0.00500005,0.00500005
27,2267.43,1.47085,1.1896,1.12668,0.76822,0.62737,0.70545,0.49904,1.64416,1.10197,1.06906,0.00480005,0.00480005,0.00480005
28,2355.03,1.48214,1.18477,1.13051,0.76785,0.64629,0.71159,0.49911,1.64846,1.10018,1.06679,0.00460005,0.00460005,0.00460005
29,2437.7,1.47437,1.17438,1.12132,0.75586,0.65875,0.72303,0.50997,1.63217,1.08453,1.0596,0.00440006,0.00440006,0.00440006
30,2525.98,1.45806,1.15864,1.11716,0.75994,0.6557,0.72413,0.51269,1.61916,1.072,1.05615,0.00420006,0.00420006,0.00420006
31,2608.49,1.45716,1.14425,1.11355,0.75445,0.64758,0.7183,0.50928,1.61806,1.0746,1.055,0.00400006,0.00400006,0.00400006
32,2689.45,1.44388,1.14613,1.11487,0.73613,0.67179,0.71611,0.50884,1.60363,1.07642,1.04952,0.00380006,0.00380006,0.00380006
33,2770.3,1.44736,1.14024,1.1136,0.74944,0.66535,0.72665,0.51555,1.60108,1.06192,1.04692,0.00360006,0.00360006,0.00360006
34,2851.82,1.43508,1.11783,1.10832,0.75508,0.67092,0.73237,0.52031,1.60119,1.06155,1.04686,0.00340007,0.00340007,0.00340007
