epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3194,1.2597,1.60157,1.31757,0.64376,0.52888,0.61503,0.45415,1.08179,1.10559,1.12898,8.33e-06,8.33e-06,8.33e-06
2,5.35674,1.20644,1.4695,1.25577,0.64916,0.55231,0.62249,0.45815,1.0781,1.08111,1.1261,1.76733e-05,1.76733e-05,1.76733e-05
3,7.26255,1.16092,1.3925,1.22291,0.65138,0.5672,0.63387,0.46466,1.07067,1.06224,1.12333,2.68281e-05,2.68281e-05,2.68281e-05
4,9.15809,1.21299,1.41356,1.24647,0.66893,0.59605,0.65832,0.48695,1.06261,1.03928,1.11759,3.57944e-05,3.57944e-05,3.57944e-05
5,10.8786,1.16437,1.30596,1.21773,0.68681,0.6155,0.67037,0.49842,1.05226,1.01607,1.11138,4.45722e-05,4.45722e-05,4.45722e-05
6,12.6126,1.11418,1.24014,1.17754,0.72586,0.61583,0.68393,0.50849,1.0469,0.99053,1.10558,5.31615e-05,5.31615e-05,5.31615e-05
7,14.6126,1.16014,1.22617,1.21709,0.69278,0.64275,0.69554,0.51603,1.04251,0.97132,1.10089,6.15623e-05,6.15623e-05,6.15623e-05
8,16.4497,1.10618,1.18343,1.16529,0.69812,0.65246,0.7112,0.52287,1.02838,0.94098,1.09076,6.97746e-05,6.97746e-05,6.97746e-05
9,18.2778,1.15601,1.2152,1.19373,0.71494,0.65486,0.71781,0.53658,1.01164,0.91089,1.08102,7.77984e-05,7.77984e-05,7.77984e-05
10,20.0271,1.07198,1.12735,1.17777,0.70306,0.66873,0.72162,0.54465,1.00665,0.89237,1.07751,8.56337e-05,8.56337e-05,8.56337e-05
11,21.7433,1.07358,1.11737,1.17437,0.72829,0.67391,0.73288,0.55754,0.99941,0.87019,1.0716,9.32805e-05,9.32805e-05,9.32805e-05
12,23.6197,1.06817,1.08249,1.16265,0.73436,0.67876,0.74721,0.566,0.99784,0.85124,1.06881,0.000100739,0.000100739,0.000100739
13,25.5163,1.03352,1.04355,1.13662,0.77771,0.6767,0.76218,0.57447,0.9855,0.82948,1.06232,0.000104863,0.000104863,0.000104863
14,27.3199,1.05413,1.06689,1.14702,0.77022,0.69471,0.77103,0.58359,0.97262,0.81197,1.05397,0.000103685,0.000103685,0.000103685
15,29.0247,1.06315,1.01572,1.13513,0.84713,0.65395,0.77881,0.59103,0.9595,0.79663,1.04729,0.000102507,0.000102507,0.000102507
16,30.773,1.0043,0.98189,1.14569,0.77129,0.70577,0.7833,0.59633,0.95104,0.782,1.04335,0.000101329,0.000101329,0.000101329
17,32.6514,1.01934,0.98001,1.14439,0.77539,0.70974,0.78823,0.60054,0.93513,0.76652,1.03617,0.00010015,0.00010015,0.00010015
18,34.3537,0.98713,0.97724,1.10705,0.78916,0.70811,0.79323,0.60596,0.92707,0.75344,1.03198,9.89723e-05,9.89723e-05,9.89723e-05
19,35.9882,1.03768,0.98588,1.13121,0.81406,0.7016,0.80848,0.61498,0.92184,0.74624,1.02813,9.77942e-05,9.77942e-05,9.77942e-05
20,37.7296,1.01079,0.93857,1.12367,0.7854,0.74083,0.81517,0.62127,0.91481,0.72667,1.02216,9.66161e-05,9.66161e-05,9.66161e-05
21,39.4587,1.00304,0.94826,1.12199,0.78293,0.75269,0.82035,0.63257,0.91203,0.71585,1.0185,9.5438e-05,9.5438e-05,9.5438e-05
22,41.1161,0.97754,0.91214,1.10888,0.78323,0.76877,0.82225,0.63529,0.90549,0.70795,1.01471,9.42599e-05,9.42599e-05,9.42599e-05
