epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.356,5.60215,20.9145,3.85759,0.00099,0.22454,0.00146,0.00062,nan,nan,nan,0.0701255,0.00331939,0.00331939
2,250.89,4.37129,4.01667,2.73243,0.23366,0.05255,0.0136,0.00403,4.08491,4.27652,2.39893,0.0399938,0.006521,0.006521
3,372.873,3.13053,3.21897,1.97473,0.07636,0.1123,0.03763,0.01216,nan,nan,nan,0.00973008,0.00959061,0.00959061
4,491.494,nan,2.86652,1.76243,0.17313,0.18581,0.08907,0.03438,3.06169,2.58658,1.68586,0.009406,0.009406,0.009406
5,612.183,2.62665,2.63523,1.6561,0.22548,0.2269,0.14266,0.06211,nan,nan,nan,0.009208,0.009208,0.009208
6,734.299,2.5057,2.46656,1.58865,0.27518,0.23504,0.16731,0.07753,nan,nan,nan,0.00901,0.00901,0.00901
7,857.687,2.45474,2.35676,1.55201,0.25396,0.29465,0.20671,0.09717,2.75278,2.10722,1.56016,0.008812,0.008812,0.008812
8,986.061,2.38799,2.26112,1.52309,0.2941,0.29566,0.2194,0.10571,2.71226,2.08288,1.5202,0.008614,0.008614,0.008614
9,1110.47,2.34039,2.22185,1.50608,0.29126,0.32112,0.24062,0.11772,nan,nan,nan,0.008416,0.008416,0.008416
10,1237.56,2.30558,2.16796,1.48263,0.31758,0.29556,0.25198,0.12522,nan,nan,nan,0.008218,0.008218,0.008218
11,1365.68,2.27069,2.10474,1.46581,0.35631,0.33786,0.28177,0.14458,2.60705,1.9297,1.47054,0.00802,0.00802,0.00802
12,1490.33,2.25028,2.06763,1.46032,0.36774,0.35392,0.29518,0.15197,nan,nan,nan,0.007822,0.007822,0.007822
13,1616.88,2.21795,2.02665,1.44274,0.32893,0.38668,0.32014,0.17106,nan,nan,nan,0.007624,0.007624,0.007624
14,1743.63,2.20984,1.9724,1.43023,0.38284,0.43208,0.34796,0.18686,2.46743,1.75298,1.4303,0.007426,0.007426,0.007426
15,1874.55,2.17769,1.94556,1.41644,0.40153,0.3817,0.35278,0.19263,nan,nan,nan,0.007228,0.007228,0.007228
16,1999.78,2.15445,1.92986,1.41336,0.42051,0.40889,0.36821,0.20447,2.41458,1.71422,1.40761,0.00703,0.00703,0.00703
17,2127.34,2.13605,1.88414,1.3925,0.43465,0.40938,0.38784,0.22081,2.3834,1.67184,1.37717,0.006832,0.006832,0.006832
18,2252.07,2.113,1.86308,1.39376,0.43807,0.38969,0.39954,0.22153,2.38719,1.66207,1.38487,0.006634,0.006634,0.006634
19,2379.44,2.09067,1.82436,1.38691,0.45687,0.43807,0.40963,0.23449,2.35458,1.61466,1.37305,0.006436,0.006436,0.006436
20,2506.97,2.0924,1.80205,1.37767,0.46977,0.42435,0.41242,0.23676,2.32099,1.61137,1.34953,0.006238,0.006238,0.006238
21,2633.66,2.07357,1.79254,1.37045,0.51724,0.44668,0.43667,0.25088,2.335,1.5942,1.35019,0.00604,0.00604,0.00604
22,2760.05,2.05998,1.76713,1.35871,0.5474,0.46378,0.466,0.27261,2.27662,1.53737,1.33213,0.005842,0.005842,0.005842
23,2886.67,2.03934,1.758,1.35343,0.48755,0.45419,0.45538,0.27605,2.28073,1.54183,1.33698,0.005644,0.005644,0.005644
24,3016.75,2.03448,1.74314,1.35198,0.54934,0.46321,0.47186,0.27863,2.25489,1.52641,1.31853,0.005446,0.005446,0.005446
25,3142.89,2.01687,1.71455,1.342,0.53626,0.46671,0.48177,0.28617,2.24624,1.50509,1.31123,0.005248,0.005248,0.005248
26,3271.85,2.00463,1.69478,1.33883,0.53276,0.48468,0.48986,0.29102,2.22443,1.48445,1.30935,0.00505,0.00505,0.00505
27,3398.11,1.99086,1.67656,1.32632,0.58739,0.48577,0.50716,0.30094,2.20575,1.46832,1.29475,0.004852,0.004852,0.004852
28,3523.59,2.0022,1.66014,1.32047,0.53499,0.47893,0.49737,0.29888,2.20018,1.46034,1.29287,0.004654,0.004654,0.004654
29,3649.78,1.97198,1.64062,1.31337,0.5546,0.50226,0.50282,0.30204,2.17779,1.43097,1.27978,0.004456,0.004456,0.004456
30,3775.36,1.95748,1.6315,1.30693,0.61101,0.47762,0.51797,0.31343,2.16243,1.43167,1.26526,0.004258,0.004258,0.004258
31,3896.05,1.95947,1.62063,1.30213,0.583,0.50667,0.52458,0.32049,2.16312,1.41665,1.27694,0.00406,0.00406,0.00406
32,4020.22,1.93887,1.58899,1.29872,0.59965,0.50296,0.53253,0.32626,2.14047,1.39805,1.26435,0.003862,0.003862,0.003862
33,4147.31,1.94737,1.59875,1.29815,0.60352,0.51318,0.5413,0.33169,2.13092,1.38423,1.26279,0.003664,0.003664,0.003664
34,4275.71,1.92224,1.57502,1.29076,0.60796,0.51824,0.54492,0.33993,2.1184,1.38331,1.25385,0.003466,0.003466,0.003466
35,4402.05,1.91827,1.57509,1.28765,0.59864,0.51737,0.54809,0.34411,2.09597,1.36858,1.2466,0.003268,0.003268,0.003268
36,4530.51,1.91271,1.55015,1.2769,0.59764,0.53771,0.55394,0.34913,2.09522,1.36072,1.24412,0.00307,0.00307,0.00307
37,4659.34,1.89009,1.53092,1.2739,0.61529,0.52526,0.55604,0.35275,2.07963,1.35061,1.23593,0.002872,0.002872,0.002872
38,4791.83,1.87493,1.52603,1.26777,0.62549,0.53122,0.56742,0.36012,2.07316,1.33323,1.23125,0.002674,0.002674,0.002674
39,4922.18,1.87471,1.50324,1.27033,0.63008,0.53923,0.56966,0.36318,2.06679,1.3209,1.22625,0.002476,0.002476,0.002476
40,5057.04,1.87461,1.5001,1.26183,0.61679,0.55435,0.57685,0.36666,2.06482,1.31414,1.22604,0.002278,0.002278,0.002278
41,5190.83,1.91197,1.32441,1.25512,0.62178,0.55324,0.58011,0.36916,2.03276,1.30027,1.21583,0.00208,0.00208,0.00208
42,5314.95,1.87899,1.2708,1.24336,0.66675,0.54973,0.59109,0.37985,2.00469,1.2847,1.20589,0.001882,0.001882,0.001882
43,5439.86,1.85004,1.2418,1.22677,0.67171,0.54731,0.59519,0.3834,1.99377,1.27171,1.20162,0.001684,0.001684,0.001684
44,5564.43,1.84232,1.22831,1.22036,0.68577,0.54843,0.60432,0.39004,1.97775,1.25487,1.19404,0.001486,0.001486,0.001486
45,5689.68,1.81802,1.20295,1.21728,0.68125,0.54927,0.60631,0.39084,1.96753,1.24514,1.19103,0.001288,0.001288,0.001288
46,5821.19,1.79202,1.18394,1.20213,0.6777,0.56217,0.60823,0.3949,1.95668,1.23524,1.18601,0.00109,0.00109,0.00109
47,5952.28,1.77499,1.16485,1.19763,0.67378,0.56819,0.61002,0.39515,1.94604,1.22768,1.18218,0.000892,0.000892,0.000892
48,6088.21,1.76191,1.15147,1.18628,0.67632,0.57441,0.61161,0.39737,1.93648,1.21944,1.17902,0.000694,0.000694,0.000694
49,6223.39,1.74336,1.14265,1.18372,0.66285,0.58135,0.61379,0.39997,1.93054,1.21486,1.17478,0.000496,0.000496,0.000496
50,6351.76,1.73922,1.12653,1.18034,0.66204,0.58004,0.6154,0.40051,1.92923,1.21249,1.17369,0.000298,0.000298,0.000298
